image,text,caption
thai_food.jpg,"อาหารไทยจานนี้มีความพิเศษตรงที่นำวัตถุดิบพื้นบ้านมาประยุกต์","Traditional Thai dish with modern presentation"
temple.jpg,"วัดไทยที่มีสถาปัตยกรรมอันงดงาม แสดงถึงภูมิปัญญาของช่างไทยโบราณ","Ancient Thai temple with intricate architectural details"
market.jpg,"ตลาดน้ำดั้งเดิมที่ยังคงวิถีชีวิตแบบไทย","Local floating market showing traditional Thai lifestyle"
dance.jpg,"การแสดงนาฏศิลป์ไทยที่สืบทอดมาแต่โบราณ","Traditional Thai dance performance with elegant costumes"
craft.jpg,"งานหัตถกรรมไทยที่ต้องใช้ความประณีตในการสร้างสรรค์","Detailed Thai handicraft showing skilled craftsmanship"
festival.jpg,"เทศกาลประเพณีไทยที่เต็มไปด้วยสีสันและความสนุกสนาน","Colorful Thai festival with traditional celebrations"
nature.jpg,"ธรรมชาติอันงดงามของประเทศไทย ทั้งภูเขา น้ำตก และทะเล","Beautiful Thai landscape showing mountains and waterfalls"
city.jpg,"กรุงเทพมหานครในยามค่ำคืน แสดงถึงความทันสมัย","Modern Bangkok cityscape at night with illuminated buildings"
farm.jpg,"วิถีชีวิตเกษตรกรไทยที่เรียบง่ายและยั่งยืน","Sustainable Thai farming methods in rural area"
art.jpg,"ศิลปะร่วมสมัยที่ผสมผสานความเป็นไทยได้อย่างลงตัว","Contemporary art piece with Thai cultural elements"
